seed,train_step,episode,eval_flag,success,orbit_time_s,total_return,fuel_remaining,fuel_remaining_frac,apoapsis,periapsis,max_altitude,max_speed,termination_reason,episode_steps
0,24,0,False,False,nan,-4.771773385815322,0.0,0.0,86.68343071802519,-598306.9563213331,100.30880937748589,182.81804484205762,vessel_destroyed,24
0,38,1,False,False,nan,-4.869556100107729,0.0,0.0,93.6017558502499,-598596.4978181977,93.58662309648935,175.27452124199974,vessel_destroyed,14
0,59,2,False,False,nan,-4.800643191672862,0.0,0.0,70.89536420162767,-598463.4615794484,91.02485091111157,176.01725009207456,vessel_destroyed,21
0,75,3,False,False,nan,-4.850599211640656,0.0,0.0,73.54137469246052,-598444.0132868374,86.50418988708407,175.22824254783066,vessel_destroyed,16
0,91,4,False,False,nan,-4.850771810859442,0.0,0.0,80.27666555624455,-598249.3197717926,88.2402396282414,185.60786250904232,vessel_destroyed,16
0,104,5,False,False,nan,-4.88062459975481,0.0,0.0,80.67691132344771,-598564.8656348494,90.75667998800054,175.01107628466252,vessel_destroyed,13
0,117,6,False,False,nan,-4.879621694795787,0.0,0.0,84.86945510772057,-598482.598475596,92.48559779580683,179.27572822046784,vessel_destroyed,13
0,145,7,False,False,nan,-4.730353971943259,0.0,0.0,83.41143440257292,-598419.3809332417,90.64757074730005,176.47795584768016,vessel_destroyed,28
0,157,8,False,False,nan,-4.890354834496975,0.0,0.0,83.57369297253899,-598561.346900538,86.65159516420681,174.89038362175017,vessel_destroyed,12
0,170,9,False,False,nan,-4.880301404744387,0.0,0.0,85.01128406019416,-598427.7108202659,93.33194836508483,176.57147582735672,vessel_destroyed,13
0,188,10,False,False,nan,-4.83011148031801,0.0,0.0,86.01767532655504,-598499.4476206326,86.5427131903125,174.9162125097801,vessel_destroyed,18
0,204,11,False,False,nan,-4.8504926124587655,0.0,0.0,95.55622525466606,-598459.5104664402,86.45510977203958,176.0492594067175,vessel_destroyed,16
0,225,12,False,False,nan,-4.801134176552296,0.0,0.0,92.3784596985206,-598432.4873008353,104.95233304670546,176.4290419767445,vessel_destroyed,21
0,238,13,False,False,nan,-4.880132261663675,1409.289794921875,0.1957346937391493,87.17930411663838,-598445.0130279913,90.95788604451809,175.87227726151943,vessel_destroyed,13
0,251,14,False,False,nan,-4.8796696327626705,1406.7454833984375,0.19538131713867188,69.66998686140869,-598512.3045534426,95.50049233529717,176.7007930478795,vessel_destroyed,13
0,265,15,False,False,nan,-4.870580310001969,0.0,0.0,81.57091020746157,-598487.5000710028,88.96200819464866,175.10182694813474,vessel_destroyed,14
0,281,16,False,False,nan,-4.850670539774001,1413.634033203125,0.1963380601671007,73.96770890674088,-598423.9792339744,86.49172920756973,179.1005148228747,vessel_destroyed,16
0,299,17,False,False,nan,-4.83047035895288,0.0,0.0,69.09252195537556,-598407.75323134,95.83128902118187,176.7130311365415,vessel_destroyed,18
0,315,18,False,False,nan,-4.849997857585549,0.0,0.0,87.04314590839203,-598457.635025961,88.54102023201995,180.28014378655783,vessel_destroyed,16
0,329,19,False,False,nan,-4.870605023577809,0.0,0.0,73.6416379873408,-598533.2892590951,86.79427679302171,176.03976010660358,vessel_destroyed,14
0,342,20,False,False,nan,-4.880604003556073,0.0,0.0,72.84526418359019,-598404.0517256127,86.91417691996321,179.00626921681658,vessel_destroyed,13
0,364,21,False,False,nan,-4.789935330860317,0.0,0.0,69.01486451574601,-598498.7888783521,88.55614428210538,176.27904341303253,vessel_destroyed,22
0,375,22,False,False,nan,-4.900493237189949,0.0,0.0,82.37333350989502,-598472.5985790942,86.54228822898585,175.01826044839274,vessel_destroyed,11
0,394,23,False,False,nan,-4.820666247047484,0.0,0.0,81.0250368952984,-598447.0342825665,86.66805185959674,175.24610997023967,vessel_destroyed,19
0,407,24,False,False,nan,-4.880513831973076,0.0,0.0,70.66629301570356,-598422.9955939213,88.66359099117108,178.0838161010701,vessel_destroyed,13
0,419,25,False,False,nan,-4.8905807714909315,0.0,0.0,82.32947344065178,-598540.091075685,87.29718269058503,175.13227913412516,vessel_destroyed,12
0,432,26,False,False,nan,-4.880394516512752,0.0,0.0,84.11902502749581,-598441.0981370587,86.22430497547612,180.51369577700694,vessel_destroyed,13
